slug,decision
red-s-meadow-resort-mammoth-lakes,reject
wassermann-wranch-llc-alpine,reject
palo-pinto-mountains-state-park-strawn,reject
texas-border-tours-progreso-lakes,reject
west-texas-adventures-alpine,reject
deaf-smith-county-grain-processing-hereford,reject
montalvo-s-feed-store-hebbronville,reject
sierra-meadows-ranch-lodging-and-equestrian-boarding-mammoth-lakes,approve
palo-duro-riding-stables-canyon,approve
naylors-farm-ranch-supply-corpus-christi,reject
compton-warehouse-menard,reject
bee-county-district-clerk-s-office-beeville,reject
bee-county-courthouse-beeville,reject
horse-barn-lowgap,reject
texas-ranch-life-chappell-hill,reject
lasalle-western-wear-cotulla,reject
hemphill-county-exhibition-center-canadian,reject
florida-horse-park-ocala,reject
the-mansard-house-galveston,reject
hemphill-county-recreation-complex-rv-park-canadian,reject
hunewill-ranch-bridgeport,reject
cactus-jack-s-trail-rides-farm-tours-ocala,reject
davie-farms-davie,reject
island-farm-manteo,reject
deaf-smith-county-barn-hereford,reject
martin-community-college-williamston,reject
liz-cook-trail-ride-columbus,reject
hoffpauir-s-ranch-and-supply-lampasas,reject
crt-cataloochee-ranch-maggie-valley,reject
rock-hill-bed-bale-rv-park-arena-beckville,reject
averett-college-equestrian-center-providence,reject
santa-cruz-county-horsemen-s-association-santa-cruz,reject
wagon-trails-ranch-rides-by-andalusia-cattle-co-bunnell,reject
4b-farm-campground-troy,reject
broward-stables-davie,approve
winsome-view-farm-king,approve
by-the-creek-campground-and-horse-boarding-stables-beulaville,reject
last-frontier-ranch-wichita-falls,reject
north-carolina-rural-heritage-center-laurinburg,reject
longleaf-lodge-hoffman,reject
san-felasco-equestrian-trailhead-and-biking-trails-alachua,reject
coldspring-farm-ranch-coldspring,reject
greens-farm-landing-queen-city,reject
parrie-haynes-equestrian-center-killeen,reject
coram-ranch-shasta-lake,reject
drakesbad-guest-ranch-chester,reject
finish-line-feeds-dania-beach,reject
double-heart-ranch-rv-park-jasper,reject
hoof-prints-ranch-stephenville,reject
